Name: CCTV-3, URL: http://183.53.109.208:9090/rtp/239.77.0.175:5146, IPv_Type: ipv4, Date: None, Delay: 2899 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV-3, URL: http://113.89.247.89:4200/rtp/239.77.0.169:5146, IPv_Type: ipv4, Date: None, Delay: 2164 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-3, URL: http://113.89.247.89:4200/rtp/239.77.0.175:5146, IPv_Type: ipv4, Date: None, Delay: 2164 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-3, URL: http://106.87.51.16:8888/rtp/235.254.198.141:1842, IPv_Type: ipv4, Date: None, Delay: 4797 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV-3, URL: http://111.226.67.119:9999/rtp/239.254.201.152:7205, IPv_Type: ipv4, Date: None, Delay: 4895 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-3, URL: http://222.84.235.130:4022/rtp/239.81.0.231:4056, IPv_Type: ipv4, Date: None, Delay: 5811 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-3, URL: http://122.242.208.17:8888/rtp/233.50.201.196:5140, IPv_Type: ipv4, Date: None, Delay: 5371 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-3, URL: http://117.68.218.143:4022/rtp/238.1.78.170:7232, IPv_Type: ipv4, Date: None, Delay: 4434 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV-3, URL: http://113.65.7.94:8888/rtp/239.255.40.169:8208, IPv_Type: ipv4, Date: None, Delay: 7126 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-3, URL: http://39.89.58.54:8888/rtp/239.253.254.191:8000, IPv_Type: ipv4, Date: None, Delay: 3807 ms, Speed: 0.03 M/s, Resolution: None
Name: CCTV-3, URL: http://39.89.58.54:8888/rtp/239.253.254.4:8000, IPv_Type: ipv4, Date: None, Delay: 3807 ms, Speed: 0.03 M/s, Resolution: None
Name: CCTV-3, URL: http://27.18.232.249:9100/rtp/239.69.1.122:10370, IPv_Type: ipv4, Date: None, Delay: 5706 ms, Speed: 0.01 M/s, Resolution: None
